
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
WLM            DDO-221            0.0328381  -15.4609285  Irr      1.00    0.10   TRGB/Cepheid  0.088  -14.840   0.200   nd       nd         1.0     0.0   50           nd      nd      nd      nd      nd       nd       5.14    0.00    nd      nd      nd  
NGC7814          nid              0.0541441   16.1455476  Sab     13.18    0.88   SBF           0.147  -20.180   0.280 -23.531   0.103     150.0    40.0   39/85      169.20    7.20    2.84    0.19   10.879    0.037    7.57    0.10    nd      nd      nd  
NGC55          nid                0.2482245  -39.1965824  SBm      2.09    0.08   TRGB/Cepheid  0.036  -18.770   0.200 -20.356   0.111      36.0    15.0   75           nd      nd      2.31    0.09    nd       nd       6.87    0.15    nd      nd      nd  
NGC147          nid               0.5533300   48.5086000  E5       0.76    0.10   TRGB/SBF      0.475  -15.460   0.300 -17.254   0.118      10.0     2.0   91/97a      22.00    5.00    0.57    0.08    8.408    0.130    6.16    0.11    nd      nd      nd  
NGC185          nid               0.6493737   48.3373957  E3       0.63    0.01   TRGB/SBF      0.500  -15.400   0.200 -17.489   0.112       8.0     1.0   30/97a      19.90    2.40    0.35    0.04    8.105    0.069    6.07    0.05    nd      nd      nd  
NGC205         M110               0.6728045   41.6853789  E5       0.80    0.04   TRGB          0.170  -16.660   0.200 -18.947   0.110      11.0     3.0   30          31.20    4.70    0.66    0.03    8.775    0.086    6.26    0.10    0.00    4.58    0.00
NGC221         M32                0.7116069   40.8651653  E2       0.76    0.07   SBF/TRGB      0.170  -16.540   0.210 -19.327   0.101       0.0     1.0   97          75.00    3.00    0.13    0.01    8.843    0.039    6.26    0.10    6.46    0.08    0.10
NGC224         M31                0.7123157   41.2688834  Sb       0.77    0.02   TRGB/Cepheid  0.170  -21.800   0.200 -23.467   0.101     450.0   100.0   76         160.00    8.00    4.66    0.12   11.046    0.032    8.14    0.09    8.18    0.20    0.10
NGC247          nid               0.7857145  -20.7604499  SABc     3.72    0.20   TRGB/Cepheid  0.050  -18.800   0.200 -20.428   0.118      60.0    30.0   75           nd      nd      3.64    0.20    nd       nd       7.09    0.18    nd      nd      nd  
NGC253          nid               0.7925311  -25.2884419  SABc     3.54    0.20   TRGB          0.051  -21.010   0.200 -23.979   0.101      90.0    40.0   8/75       102.60   18.80    3.80    0.20   10.571    0.102    7.39    0.16    7.00    0.30    0.30
